id,description,code,name,keywords
300980437,"1° de Mayo, Uruguay, Entre Ríos",300980437,1° de Mayo ,300980437
68540854,"25 de Mayo, 25 de Mayo, Buenos Aires",068540854,25 de Mayo ,068540854
541190525,"25 de Mayo, 25 de Mayo, Misiones",541190525,25 de Mayo ,541190525
701260126,"25 de Mayo, 25 de Mayo, San Juan",701260126,25 de Mayo ,701260126
260425014,"28 de Julio, Gaiman, Chubut",260425014,28 de Julio,260425014
900078007,"7 de Abril, Burruyacú, Tucumán",900078007,7 de Abril ,900078007
540420161,"9 de Julio (Nueve), Eldorado, Misiones",540420161,9 de Julio (Nueve)     ,540420161
65880588,"9 de Julio, 9 de Julio, Buenos Aires",065880588,9 de Julio ,065880588
700630063,"9 de Julio, 9 de Julio, San Juan",700630063,9 de Julio ,700630063
181610399,"9 de Julio, San Roque, Corrientes",181610399,9 de Julio ,181610399
820422574,"Aaron Castellanos, General López, Santa Fe",820422574,Aaron Castellanos,820422574
380076007,"Abdon Castro Tolay, Cochinoca, Jujuy",380076007,Abdon Castro Tolay     ,380076007
380070014,"Abra Pampa, Cochinoca, Jujuy",380070014,Abra Pampa ,380070014
380076014,"Abralaite, Cochinoca, Jujuy",380076014,Abralaite  ,380076014
420770007,"Abramo, Hucal, La Pampa",420770007,Abramo     ,420770007
820843351,"Acebal, Rosario, Santa Fe",820843351,Acebal     ,820843351
900708378,"Acheral, Monteros, Tucumán",900708378,Acheral    ,900708378
140980756,"Achiras, Río Cuarto, Córdoba",140980756,Achiras    ,140980756
100210042,"Aconquija, Andalgalá, Catamarca",100210042,Aconquija  ,100210042
140980763,"Adelia María, Río Cuarto, Córdoba",140980763,Adelia María     ,140980763
60070007,"Adolfo Alsina, Adolfo Alsina, Buenos Aires",060070007,Adolfo Alsina    ,060070007
60140014,"Adolfo González Chaves, Adolfo Gonzáles Chaves, Buenos Aires",060140014,Adolfo González Chaves ,060140014
421335007,"Adolfo Van Praet, Realicó, La Pampa",421335007,Adolfo Van Praet ,421335007
140210084,"Agua de Oro, Colón, Córdoba",140210084,Agua de Oro,140210084
900568273,"Agua Dulce y La Soledad, Leales, Tucumán",900568273,Agua Dulce y La Soledad,900568273
620845168,"Aguada Cecilio, Valcheta, Río Negro",620845168,Aguada Cecilio   ,620845168
620915196,"Aguada de Guerra, 25 de Mayo, Río Negro",620915196,Aguada de Guerra ,620915196
620355077,"Aguada Guzmán, El Cuy, Río Negro",620355077,Aguada Guzmán    ,620355077
580145014,"Aguada San Roque, Añelo, Neuquén",580145014,Aguada San Roque ,580145014
820913477,"Aguara Grande, San Cristóbal, Santa Fe",820913477,Aguara Grande    ,820913477
660560126,"Aguaray, General José de San Martín, Salta",660560126,Aguaray    ,660560126
380146035,"Aguas Calientes, El Carmen, Jujuy",380146035,Aguas Calientes  ,380146035
900770091,"Aguilares, Río Chico, Tucumán",900770091,Aguilares  ,900770091
421055014,"Agustoni, Maracó, La Pampa",421055014,Agustoni   ,421055014
300569315,"Alarcón, Gualeguaychú, Entre Ríos",300569315,Alarcón    ,300569315
541190511,"Alba Posse, 25 de Mayo, Misiones",541190511,Alba Posse ,541190511
700070007,"Albardón, Albardón, San Juan",700070007,Albardón   ,700070007
820843358,"Albarellos, Rosario, Santa Fe",820843358,Albarellos ,820843358
60210021,"Alberti, Alberti, Buenos Aires",060210021,Alberti    ,060210021
300709415,"Alcaraz Norte, La Paz, Entre Ríos",300709415,Alcaraz Norte    ,300709415
300709420,"Alcaraz Sur, La Paz, Entre Ríos",300709420,Alcaraz Sur,300709420
300700231,"Alcaraz, La Paz, Entre Ríos",300700231,Alcaraz    ,300700231
140980770,"Alcira, Río Cuarto, Córdoba",140980770,Alcira     ,140980770
820282413,"Alcorta, Constitución, Santa Fe",820282413,Alcorta    ,820282413
821193981,"Aldao, San Lorenzo, Santa Fe",821193981,Aldao,821193981
260848140,"Aldea Apeleg, Rio Senguer, Chubut",260848140,Aldea Apeleg     ,260848140
300499270,"Aldea Asunción, Gualeguay, Entre Ríos",300499270,Aldea Asunción   ,300499270
260848091,"Aldea Beleiro, Rio Senguer, Chubut",260848091,Aldea Beleiro    ,260848091
300219075,"Aldea Brasilera, Diamante, Entre Ríos",300219075,Aldea Brasilera  ,300219075
260568049,"Aldea Epulef, Languiñeo, Chubut",260568049,Aldea Epulef     ,260568049
300219080,"Aldea Grapschental, Diamante, Entre Ríos",300219080,Aldea Grapschental     ,300219080
300849580,"Aldea María Luisa, Paraná, Entre Ríos",300849580,Aldea María Luisa,300849580
300219085,"Aldea Protestante, Diamante, Entre Ríos",300219085,Aldea Protestante,300219085
300219090,"Aldea Salto, Diamante, Entre Ríos",300219090,Aldea Salto,300219090
300560182,"Aldea San Antonio, Gualeguaychú, Entre Ríos",300560182,Aldea San Antonio,300560182
300849585,"Aldea San Antonio, Paraná, Entre Ríos",300849585,Aldea San Antonio,300849585
300569320,"Aldea San Juan, Gualeguaychú, Entre Ríos",300569320,Aldea San Juan   ,300569320
300779515,"Aldea San Miguel, Nogoyá, Entre Ríos",300779515,Aldea San Miguel ,300779515
300849590,"Aldea San Rafael, Paraná, Entre Ríos",300849590,Aldea San Rafael ,300849590
300849595,"Aldea Santa María, Paraná, Entre Ríos",300849595,Aldea Santa María,300849595
141823225,"Aldea Santa María, Unión, Córdoba",141823225,Aldea Santa María,141823225
300849600,"Aldea Santa Rosa, Paraná, Entre Ríos",300849600,Aldea Santa Rosa ,300849600
