id,description,code,name,keywords
1,Cooperativa,1,Cooperativa,cooperativa
2,Empresa recuperada ,2,Empresa recuperada ,empresa recuperada 
3,Empresa u organismo del estado,3,Empresa u organismo del estado,empresa u organismo del estado
4,Empresa unipersonal,4,Empresa unipersonal,empresa unipersonal
5,Instituciones sin fines de lucro,5,Instituciones sin fines de lucro,instituciones sin fines de lucro
6,Otro tipo de sociedad ,6,Otro tipo de sociedad ,otro tipo de sociedad 
7,Sociedad anónima ,7,Sociedad anónima ,sociedad anónima 
8,Sociedad colectiva ,8,Sociedad colectiva ,sociedad colectiva 
9,Sociedad de hecho,9,Sociedad de hecho,sociedad de hecho
10,Sociedad de responsabilidad limitada,10,Sociedad de responsabilidad limitada,sociedad de responsabilidad limitada
11,Sociedad en comandita por acciones,11,Sociedad en comandita por acciones,sociedad en comandita por acciones
12,Sucursal o representación de empresa extranjera,12,Sucursal o representación de empresa extranjera,sucursal o representación de empresa extranjera
