id,description,code,name,keywords,include,exclude
1111,"Semillas de trigo, para siembra",1111,"Semillas de trigo, para siembra","Semillas de trigo, para siembra","Esta subclase incluye: Trigo, de las especies Triticum, principalmente Aestivum y durum, cultivados especialmente con el propósito de sembrado, este o no procesado.",
1112,Otros trigos,1112,Otros trigos,Otros trigos,"Esta subclase incluye: Trigo, de la especie de Triticum, principalmente Aestivum y el durum, incluyendo los siguientes tipos de trigo: Trigo de primavera, Trigo de invierno, Trigo duro, Trigo blando, Trigo rojo y blanco, Trigo durum",
1121,"Semillas de maíz, para siembra",1121,"Semillas de maíz, para siembra","Semillas de maiz, para siembra","Semillas de maíz, para siembra",
1122,Otros maíces,1122,Otros maíces,Otros maices,Otros maíces,
1131,"Semillas de arroz, para siembra",1131,"Semillas de arroz, para siembra","Semillas de arroz, para siembra","Esta subclase incluye: Arroz, de las especies de Oryza, principalmente Oryza sativa, no descascarillado, cultivados específicamente con el propósito de sembrado, procesadas o no.",
1132,Arroz con cáscara otros (no descascarillados),1132,Arroz con cáscara otros (no descascarillados),Arroz con cascara otros (no descascarillados),"Esta subclase incluye: Arroz, de las especies de Oryza, principalmente Oryza sativa, no descascarillado. ","Esta subclase no incluye: Arroz que se cultiva específicamente con el propósito de sembrado, véase. 01131, Arroz semiblanqueado o arroz blanqueado, incluso pulido o glaseado, véase 23161, Arroz partido, véase 23161, Arroz descascarillado, véase 23162"
1141,"Semillas de sorgo, para siembra",1141,"Semillas de sorgo, para siembra","Semillas de sorgo, para siembra","Esta subclase incluye: Sorgo, cultivado específicamente con el propósito de sembrado, procesado o no. ","Esta subclase no incluye: Sorgo no cultivado específicamente con el propósito de sembrado, véase 01142, El sorgo dulce, sorgo saccharatum, véase 01809"
1142,Otros sorgos,1142,Otros sorgos,Otros sorgos,"Esta subclase incluye: Sorgo, las especies de sorgo, principalmente vulgare, guineense, dura. ","Esta subclase no incluye: Sorgo cultivado específicamente con el propósito de sembrado, véase 01141, El sorgo dulce, sorgo saccharatum, véase 01809"
1151,"Semillas de cebada, para siembra",1151,"Semillas de cebada, para siembra","Semillas de cebada, para siembra","Esta subclase incluye: Cebada, especie Hordeum, cultivada especialmente con el propósito de sembrado, este o no procesada.",
1152,Otras cebadas,1152,Otras cebadas,Otras cebadas,"Esta subclase incluye: Cebada, especies de Hordeum, principalmente vulgare, disticum y hexastichon",
1161,"Semillas de centeno, para siembra",1161,"Semillas de centeno, para siembra","Semillas de centeno, para siembra","Esta subclase incluye: Centeno, especie Secale Cereale, cultivado específicamente con el propósito de sembrado, este o no procesado. ","Esta subclase no incluye: Centeno no cultivado específicamente con el propósito de sembrado, véase 01162"
1162,Otros centenos,1162,Otros centenos,Otros centenos,Esta subclase incluye: Centeno de la especie Secale Cereale,
1171,"Semillas de avena, para siembra",1171,"Semillas de avena, para siembra","Semillas de avena, para siembra","Esta subclase incluye: Avena, especies de avena, cultivada específicamente con el propósito de sembrado, estén o no procesadas. ","Esta subclase no incluye: Avena no cultivada específicamente con el propósito de sembrado, véase 01172"
1172,Otras avenas,1172,Otras avenas,Otras avenas,"Esta subclase incluye: Avena, especies de avena, principalmente A. sativa. ","Esta subclase no incluye: Avena cultivada específicamente con el propósito de sembrado, véase 01171"
1181,"Semillas de mijo, para siembra",1181,"Semillas de mijo, para siembra","Semillas de mijo, para siembra","Esta subclase incluye: Mijo, entre otros Echinochloa frumentacea, Eleusine coracana, Eragrostis abyssinica, Panicum, miliaceum, Paspalum scrobiculatum, Pennisetum glaucum y Setaria itálica y otros nombres locales, cultivado específicamente con el propósito de sembrado, estén o no procesadas ","Esta subclase no incluye: Mijo no cultivado específicamente con el propósito de sembrado, véase 01182"
1182,Otros mijos,1182,Otros mijos,Otros mijos,"Esta subclase incluye: Mijo, entre otros Echinochloa frumentacea, Eleusine coracana, Eragrostis abyssinica, Panicum, miliaceum, Paspalum scrobiculatum, Pennisetum glaucum y Setaria itálica y otros nombres locales",
1190,Otros cereales,1190,Otros cereales,Otros cereales,Otros cereales,
1211,Espárragos,1211,Espárragos,Esparragos,Espárragos,
1212,Repollos,1212,Repollos,Repollos,Repollos,
1213,Coliflor y brócoli,1213,Coliflor y brócoli,Coliflor y brocoli,Coliflor y brócoli,
1214,Lechuga y achicoria,1214,Lechuga y achicoria,Lechuga y achicoria,Lechuga y achicoria,
1215,Espinacas,1215,Espinacas,Espinacas,Espinacas,
1216,Alcachofas,1216,Alcachofas,Alcachofas,Esta subclase incluye: Alcachofa. Cynara scolymus,
1219,Otras hortalizas de hoja o de tallo,1219,Otras hortalizas de hoja o de tallo,Otras hortalizas de hoja o de tallo,"Esta subclase incluye: Perifollo, Anthriscus cerefolium, Acelga, Perejil, Petroselinum crispum, Verdolaga común, Portulaca oleracea, Col marina, Crambe marítima, Planta de ostras, Paciencia, Ruibarbo, Rheum Rhaponticum, Acedera, Rumex acetosa, Ensaladas. que no sean las lechugas (Lactuca sativa) y achicorias, Saturejas, ajedrea, Estragón, Berros, Nasturtium Officinale, Nasturtium microphyllum",
1221,Sandías,1221,Sandías,Sandias,Sandías,
1229,Melón Cantalupo  y otros melones,1229,Melón Cantalupo  y otros melones,Melon Cantalupo  y otros melones,Melón Cantalupo  y otros melones,
1231,"Ajíes y pimientos, verdes (sólo capsicum)",1231,"Ajíes y pimientos, verdes (sólo capsicum)","Ajies y pimientos, verdes (solo capsicum)","Ajíes y pimientos, verdes (sólo capsicum)",
1232,Pepinos y pepinillos,1232,Pepinos y pepinillos,Pepinos y pepinillos,Pepinos y pepinillos,
1233,Berenjenas,1233,Berenjenas,Berenjenas,Berenjenas,
1234,Tomates,1234,Tomates,Tomates,Tomates,
1235,"Calabazas (zapallo), cayotes y calabacines (zapallo italiano)",1235,"Calabazas (zapallo), cayotes y calabacines (zapallo italiano)","Calabazas (zapallo), cayotes y calabacines (zapallo italiano)","Esta subclase incluye: Especies de Curcubita (Calabaza, cayotes, zucchini, etc.) y Lagenaria (calabacines), de la familia de las Cucurbitáceas, incluyendo numerosas especies y variedades. ","Esta subclase no incluye: Sandías, Citrullus lanatus, véase 01221, Melón cantalupo y otros melones. véase 01229"
1239,Otras hortalizas de fruto,1239,Otras hortalizas de fruto,Otras hortalizas de fruto,"Esta subclase incluye: Frutas, Hortalizas frutales, no clasificadas en otra parte, tales como: Alcaparras, Quingombó, gombo, ají turco, Hibiscus esculentus, Chayote, Sechium edule, Tamarillos (tomate de árbol), Tomatillos",
1241,"Frijoles (porotos), verdes",1241,"Frijoles (porotos), verdes","Frijoles (porotos), verdes","Frijoles (porotos), verdes",
1242,"Arvejas, verdes",1242,"Arvejas, verdes","Arvejas, verdes","Arvejas, verdes",
1249,Otras leguminosas verdes,1249,Otras leguminosas verdes,Otras leguminosas verdes,Otras leguminosas verdes,
1251,Zanahorias y nabos,1251,Zanahorias y nabos,Zanahorias y nabos,Zanahorias y nabos,
1252,Ajo,1252,Ajo,Ajo,Ajo,
1253,Cebollas ,1253,Cebollas ,Cebollas ,Cebollas ,
1254,Puerros y otras hortalizas aliáceas,1254,Puerros y otras hortalizas aliáceas,Puerros y otras hortalizas aliaceas,Puerros y otras hortalizas aliáceas,
1259,"Otras hortalizas de raíz, bulbosas o tuberosas, n.c.p.",1259,"Otras hortalizas de raíz, bulbosas o tuberosas, n.c.p.","Otras hortalizas de raiz, bulbosas o tuberosas, n.c.p.","Otras hortalizas de raíz, bulbosas o tuberosas, n.c.p.",
1260,"Semillas de hortalizas, excepto semillas de remolacha",1260,"Semillas de hortalizas, excepto semillas de remolacha","Semillas de hortalizas, excepto semillas de remolacha","Semillas de hortalizas, excepto semillas de remolacha",
1270,Setas y trufas,1270,Setas y trufas,Setas y trufas,Setas y trufas,
1290,"Hortalizas frescas, n.c.p.",1290,"Hortalizas frescas, n.c.p.","Hortalizas frescas, n.c.p.","Esta subclase incluye: Vegetales frescos, no clasificados en otra parte, tales como: Apio, que no sea el apionabo, brotes o germinados, hojas de cactus, castañas de agua chino, Eleocharis dulcis, hinojo (cuando se usa como un vegetal), brotes de soja, soja, verde, jícama, legumbres (si se cosechan mientras conserva el verde por granos verdes o de sus vainas), skirret, Sium sisarum, maíz dulce, maíz verde",
1311,Paltas,1311,Paltas,Paltas,"Esta subclase incluye: Palta, Persea americana",
1312,Banana,1312,Banana,Banana,"Esta subclase incluye: Bananas dulces / postres, Musa sapientum, cavendishii M., M. nana, es decir, bananas que se puedan comer sin mayor preparación. ","Esta subclase no incluye: Plátanos, bananos de cocción, Musa paradisiaca, véase 01313"
1313,Plátanos (Verde) y otros,1313,Plátanos (Verde) y otros,Platanos (Verde) y otros,"Esta subclase incluye: Plátanos, Musa paradisiaca, es decir, bananas que tienen que estar preparados (cocidos o hervidos) para su consumo. ","Esta subclase no incluye: Plátanos dulces / postres, Musa sapientum, cavendishii M., M. nana, véase 01312"
1314,Dátiles,1314,Dátiles,Datiles,"Esta subclase incluye: Dátiles, fruto de la palmera datilera, Phoenix dactylifera",
1315,Higos,1315,Higos,Higos,"Esta subclase incluye: Higos, fruta de las plantas del género Ficus, especialmente Ficus carica",
1316,Mangos,1316,Mangos,Mangos,"Esta subclase incluye: Mangos, fruto de Mangifera índica , Guayaba, fruta de los árboles del género Psidium, en particular cattleianum Psidium y Psidium guajava Mangostanes, Garcinia mangostana ",
1317,Papayas,1317,Papayas,Papayas,Papayas,
1318,Piñas,1318,Piñas,Piñas,"Esta subclase incluye: Piña, Ananás comosus",
1319,Otras frutas tropicales y subtropicales n.c.p.,1319,Otras frutas tropicales y subtropicales n.c.p.,Otras frutas tropicales y subtropicales n.c.p.,"Esta subclase incluye: Durian, Guanábana, chirimoya y otras especies de Annona, Bilimbí, Averrhoa bilimbí, Carambola, carambola Averrhoa, Fruta de pan, Artocarpus communis, Artocarpus incisa, Artocarpus integrifolia, Papaya, Asimina, feijoas, Frutas de varias especies de Sapindaceae, incluyendo: litchis, lichis, Litchi chinensis, longan, mata kucing, pulasan, Nephelium mutabile, rambután frutas, Nephelium lappaceum, Granadilla gigante, granadillas, granadilla púrpura, jaca, Langsat, langsat fruta, Lansium domesticum, Fruta de la pasión, Passiflora edulis, Passiflora quadrangularis, Akee, Blighia sápida, Pepinos, Solanum muricatum, Escaramujo, Zapote, zapote (chico), Manilkara zapota, Achras zapota",
1321,Pomelos,1321,Pomelos,Pomelos,"Esta subclase incluye: Pomelos, fruta del árbol de pomelo, Citrus paradisi, Pomelos, toronjas, Citrus máxima, o Citrus grandis",
