id,description,code,name,keywords
06,Buenos Aires,06,Buenos Aires,buenos aires
10,Catamarca,10,Catamarca,catamarca
22,Chaco,22,Chaco,chaco
26,Chubut,26,Chubut,chubut
02,Ciudad Autónoma de Buenos Aires,02,Ciudad Autónoma de Buenos Aires,ciudad autónoma de buenos aires
14,Córdoba,14,Córdoba,córdoba
18,Corrientes,18,Corrientes,corrientes
30,Entre Ríos,30,Entre Ríos,entre ríos
34,Formosa,34,Formosa,formosa
38,Jujuy,38,Jujuy,jujuy
42,La Pampa,42,La Pampa,la pampa
46,La Rioja,46,La Rioja,la rioja
50,Mendoza,50,Mendoza,mendoza
54,Misiones,54,Misiones,misiones
58,Neuquén,58,Neuquén,neuquén
62,Río Negro,62,Río Negro,río negro
66,Salta,66,Salta,salta
70,San Juan,70,San Juan,san juan
74,San Luis,74,San Luis,san luis
78,Santa Cruz,78,Santa Cruz,santa cruz
82,Santa Fe,82,Santa Fe,santa fe
86,Santiago del Estero,86,Santiago del Estero,santiago del estero
94,Tierra del Fuego,94,Tierra del Fuego,tierra del fuego
90,Tucumán,90,Tucumán,tucumán
