id,description,code,name,keywords
1,Administración central,1,Administración central,administración central
2,Local productivo,2,Local productivo,local productivo
3,Unidad auxiliar: oficinas administrativas y promoción,3,Unidad auxiliar: oficinas administrativas y promoción,unidad auxiliar: oficinas administrativas y promoción
4,"Unidad auxiliar: depósitos, centros de acopio",4,"Unidad auxiliar: depósitos, centros de acopio","unidad auxiliar: depósitos, centros de acopio"
5,Unidad auxiliar: cámaras frigoríficas,5,Unidad auxiliar: cámaras frigoríficas,unidad auxiliar: cámaras frigoríficas
6,"Unidad auxiliar: garages, playas de estacionamiento",6,"Unidad auxiliar: garages, playas de estacionamiento","unidad auxiliar: garages, playas de estacionamiento"
7,Unidad auxiliar: talleres,7,Unidad auxiliar: talleres,unidad auxiliar: talleres
8,Unidad auxiliar: locales de distribución de la producción,8,Unidad auxiliar: locales de distribución de la producción,unidad auxiliar: locales de distribución de la producción
9,Unidad auxiliar: centros de recreación,9,Unidad auxiliar: centros de recreación,unidad auxiliar: centros de recreación
10,Unidad auxiliar: otras. unidades auxiliares no especificada en ítems anteriores,10,Unidad auxiliar: otras. unidades auxiliares no especificada en ítems anteriores,unidad auxiliar: otras. unidades auxiliares no especificada en ítems anteriores
